,KRW-BTC,KRW-ETH,KRW-XRP,KRW-ADA,KRW-ETC,KRW-BCH,KRW-XLM
2017-10-06 09:00:00,0.5027,0.356,2.69,0.213,1.415,4.175,0.212
2017-10-07 09:00:00,0.5047,0.3545,2.73,0.237,1.405,4.11,0.237
2017-10-08 09:00:00,0.5217,0.3495,3.19,0.23199999999999998,1.37,3.89,0.21
2017-10-09 09:00:00,0.5477,0.3395,2.86,0.253,1.3,3.58,0.20199999999999999
2017-10-10 09:00:00,0.5486,0.344,2.98,0.247,1.31,3.655,0.217
2017-10-11 09:00:00,0.5557,0.348,3.03,0.26,1.32,3.625,0.22399999999999998
2017-10-12 09:00:00,0.6332,0.354,2.86,0.309,1.37,3.645,0.20800000000000002
2017-10-13 09:00:00,0.6438,0.384,2.94,0.382,1.38,3.65,0.204
2017-10-14 09:00:00,0.6664,0.383,2.87,0.36700000000000005,1.38,3.64,0.19699999999999998
2017-10-15 09:00:00,0.6381,0.377,2.99,0.33899999999999997,1.35,3.535,0.21600000000000003
2017-10-16 09:00:00,0.6491,0.377,2.9,0.325,1.335,3.52,0.41700000000000004
2017-10-17 09:00:00,0.6457,0.36,2.61,0.313,1.35,4.205,0.522
2017-10-18 09:00:00,0.6391,0.3605,2.49,0.305,1.32,3.895,0.40399999999999997
2017-10-19 09:00:00,0.6511,0.3525,2.45,0.311,1.29,3.79,0.35700000000000004
2017-10-20 09:00:00,0.6928,0.351,2.38,0.332,1.285,3.715,0.319
2017-10-24 09:00:00,0.6479,0.3485,2.39,0.318,1.225,3.8,0.43
2017-10-25 09:00:00,0.6643,0.3445,2.33,0.319,1.21,3.82,0.40299999999999997
2017-10-26 09:00:00,0.6811,0.3395,2.31,0.314,1.185,3.87,0.397
2017-10-27 09:00:00,0.671,0.3435,2.33,0.308,1.195,4.23,0.39799999999999996
2017-10-28 09:00:00,0.6715,0.3455,2.32,0.303,1.21,4.875,0.36
2017-10-29 09:00:00,0.6961,0.342,2.28,0.324,1.215,5.05,0.342
2017-10-30 09:00:00,0.6964,0.349,2.29,0.324,1.22,5.07,0.361
2017-10-31 09:00:00,0.7422,0.3495,2.29,0.35100000000000003,1.205,5.01,0.33399999999999996
2017-11-01 09:00:00,0.7798,0.3335,2.19,0.265,1.165,6.13,0.314
2017-11-02 09:00:00,0.8217,0.332,2.36,0.249,1.17,6.65,0.319
2017-11-03 09:00:00,0.8143,0.3485,2.35,0.259,1.445,7.08,0.316
2017-11-04 09:00:00,0.8346,0.34,2.27,0.25,1.33,6.97,0.309
2017-11-05 09:00:00,0.8453,0.336,2.28,0.247,1.525,6.52,0.301
2017-11-06 09:00:00,0.806,0.34575,2.35,0.257,1.631,6.975,0.319
2017-11-07 09:00:00,0.8243,0.3382,2.39,0.256,1.568,7.068,0.354
2017-11-08 09:00:00,0.8339,0.346,2.43,0.281,1.561,6.907,0.374
2017-11-09 09:00:00,0.8148,0.3642,2.47,0.368,1.609,7.431,0.456
2017-11-10 09:00:00,0.7541,0.3411,2.33,0.309,1.657,11.5,0.376
2017-11-11 09:00:00,0.7231,0.35735,2.41,0.313,2.188,15.295,0.374
2017-11-12 09:00:00,0.7132,0.3684,2.34,0.293,1.78,16.885,0.337
2017-11-13 09:00:00,0.7487,0.36145,2.31,0.295,1.827,15.505,0.355
2017-11-14 09:00:00,0.7591,0.385,2.37,0.301,2.009,14.43,0.428
2017-11-15 09:00:00,0.835,0.3794,2.39,0.302,1.955,13.7,0.429
2017-11-16 09:00:00,0.871,0.3652,2.54,0.304,1.851,9.989,0.413
2017-11-17 09:00:00,0.8541,0.36795,2.49,0.285,1.898,13.095,0.39799999999999996
2017-11-18 09:00:00,0.8618,0.38365,2.51,0.29100000000000004,1.941,13.8,0.40299999999999997
2017-11-19 09:00:00,0.877,0.3886,2.53,0.307,1.956,12.845,0.40399999999999997
2017-11-20 09:00:00,0.9025,0.39865,2.62,0.319,2.012,13.38,0.41
2017-11-21 09:00:00,0.8944,0.3976,2.54,0.312,1.949,12.895,0.41200000000000003
2017-11-22 09:00:00,0.9084,0.4192,2.62,0.318,1.977,14.34,0.47600000000000003
2017-11-23 09:00:00,0.8943,0.45245,2.68,0.308,1.988,18.5,0.45
2017-11-24 09:00:00,0.9195,0.5281,2.67,0.317,2.315,18.15,0.45799999999999996
2017-11-25 09:00:00,0.9879,0.5189,2.79,0.34700000000000003,2.385,17.35,0.49200000000000005
2017-11-26 09:00:00,1.0344,0.521,2.74,0.40299999999999997,2.418,19.06,0.5429999999999999
2017-11-27 09:00:00,1.1314,0.5488,2.88,0.585,2.87,18.31,0.698
2017-11-28 09:00:00,1.2048,0.564,3.39,1.46,3.816,18.0,1.02
2017-11-29 09:00:00,1.1104,0.484,2.66,1.01,2.789,15.39,0.7040000000000001
2017-11-30 09:00:00,1.1935,0.5199,2.82,1.43,3.139,15.905,0.861
2017-12-01 09:00:00,1.2532,0.534,2.87,1.51,3.44,16.6,1.05
2017-12-02 09:00:00,1.2971,0.5403,2.9,1.56,3.411,16.5,1.12
2017-12-03 09:00:00,1.3128,0.54,2.87,1.53,3.391,17.69,1.05
2017-12-04 09:00:00,1.3684,0.5478,2.89,1.58,3.44,18.105,1.14
2017-12-05 09:00:00,1.4645,0.5681,2.92,1.58,3.529,17.895,1.54
2017-12-06 09:00:00,1.839,0.5545,2.9,1.57,3.36,17.91,2.16
2017-12-07 09:00:00,2.3791,0.5865,2.87,1.45,3.329,17.64,1.78
2017-12-08 09:00:00,2.026,0.5642,2.98,1.44,3.544,17.495,1.72
2017-12-09 09:00:00,1.7769,0.5535,2.84,1.39,3.321,16.49,1.61
2017-12-10 09:00:00,1.7661,0.504,2.69,1.26,2.97,15.13,1.36
2017-12-11 09:00:00,1.9307,0.5875,2.88,1.38,3.08,16.135,1.64
2017-12-12 09:00:00,1.894,0.705,4.35,1.47,3.281,17.835,1.67
2017-12-13 09:00:00,1.8358,0.782,5.23,1.48,3.31,17.9,1.67
2017-12-14 09:00:00,1.866,0.7849,9.4,2.6,3.546,21.98,2.12
2017-12-15 09:00:00,2.0075,0.7721,8.44,2.42,3.584,20.44,2.22
2017-12-16 09:00:00,2.2205,0.7886,8.49,4.57,3.861,20.4,2.79
2017-12-17 09:00:00,2.1881,0.8152,8.16,5.52,3.914,21.15,3.02
2017-12-18 09:00:00,2.2087,0.9185,8.79,6.2,4.4,24.84,3.21
2017-12-19 09:00:00,2.2367,1.0275,9.4,6.63,4.802,34.37,3.35
2017-12-20 09:00:00,2.2638,1.0885,9.95,6.64,5.387,50.5,3.44
2017-12-21 09:00:00,2.22,1.1145,16.05,6.73,5.259,43.68,3.63
2017-12-22 09:00:00,1.9089,0.9099,14.6,5.6,3.926,35.31,2.97
2017-12-23 09:00:00,2.0525,0.9835,14.7,5.83,4.172,42.1,3.28
2017-12-24 09:00:00,1.9592,0.9612,14.05,5.47,3.992,39.97,3.12
2017-12-25 09:00:00,1.9822,1.035,14.25,5.89,4.164,39.44,3.21
2017-12-26 09:00:00,2.1933,1.0405,15.05,5.91,4.149,40.53,3.08
2017-12-27 09:00:00,2.197,1.048,17.2,5.81,4.087,38.6,3.17
2017-12-28 09:00:00,1.9565,0.969,17.05,5.51,3.648,33.83,2.98
2017-12-29 09:00:00,1.929,0.984,25.7,6.91,3.685,35.06,4.22
2017-12-30 09:00:00,1.8415,1.0105,27.25,8.84,3.51,32.21,4.54
2017-12-31 09:00:00,1.928,1.026,27.45,9.86,3.631,32.95,4.89
2018-01-01 09:00:00,1.886,1.057,28.85,9.87,4.112,32.52,6.86
2018-01-02 09:00:00,2.0263,1.177,30.0,10.5,4.362,34.86,7.62
2018-01-03 09:00:00,2.09,1.2955,37.35,15.45,4.501,35.0,12.2
2018-01-04 09:00:00,2.3402,1.4395,42.15,17.55,5.149,35.5,11.3
2018-01-05 09:00:00,2.7444,1.5545,40.6,16.25,5.031,38.25,10.75
2018-01-06 09:00:00,2.6924,1.57,41.3,16.35,5.286,39.63,11.35
2018-01-07 09:00:00,2.5859,1.7865,43.8,16.15,5.644,39.95,11.4
2018-01-08 09:00:00,2.523,1.9025,40.05,15.1,5.644,40.27,10.5
2018-01-09 09:00:00,2.4016,2.142,34.1,13.45,6.19,39.09,9.78
2018-01-10 09:00:00,2.1317,1.7935,28.05,11.05,5.166,40.55,7.94
2018-01-11 09:00:00,1.9389,1.665,28.15,9.95,4.676,35.4,8.16
2018-01-12 09:00:00,2.0745,1.9,30.55,13.6,5.369,38.7,10.1
2018-01-13 09:00:00,2.1135,2.055,29.6,13.1,6.237,39.33,9.88
2018-01-14 09:00:00,1.9206,1.907,25.75,11.2,6.01,35.6,8.71
2018-01-15 09:00:00,1.9106,1.7925,23.35,10.95,5.611,33.53,8.42
2018-01-16 09:00:00,1.4279,1.312,14.65,7.87,3.575,22.16,5.52
2018-01-17 09:00:00,1.4951,1.37,17.6,8.63,3.845,23.24,6.41
2018-01-18 09:00:00,1.488,1.34,20.75,8.6,3.959,22.62,6.62
2018-01-19 09:00:00,1.5372,1.3835,20.65,8.71,4.211,23.38,6.75
2018-01-20 09:00:00,1.6858,1.516,20.7,9.36,4.64,26.66,7.05
2018-01-21 09:00:00,1.464,1.3245,17.25,7.78,3.859,22.45,5.85
2018-01-22 09:00:00,1.3944,1.285,17.15,7.24,3.75,20.88,6.15
2018-01-23 09:00:00,1.3141,1.1925,16.15,6.76,3.417,19.48,5.89
2018-01-24 09:00:00,1.345,1.2605,16.0,7.45,3.509,19.545,6.7
2018-01-25 09:00:00,1.2973,1.2165,15.15,7.43,3.352,19.01,7.01
2018-01-26 09:00:00,1.2876,1.2165,13.95,7.22,3.323,18.34,7.28
